,N,2-MN,1-MN,2-Ethyl.N,1-Ethyl.N,"2,6-DMN","2,7-DMN",,"1,3-DMN","1,7-DMN",,"1,6-DMN",,,"1,4 + 2,3-DMN","1,5-DMN","1,2-DMN","1,8-DMN","1,3,7-TMN","1,3,6-TMN","1,4,6 + 1,3,5-TMN","2,3,6-TMN","1,2,7-TMN","1,6,7-TMN","1,2,6-TMN","1,2,4-TMN","1,2,5-TMN","1,2,3-TMN",,,,,,,,,,,,,
,Naphthalene,,,,,"2,6 DMN","2,7 DMN",,"1,3 DMN","1,7 DMN",,"1,6 DMN","1,4 DMN","2,3 DMN",,"1,5 DMN",,,,,,,,,,,,,,,,,,,,,,,,,
,,2-Methylnaphthalene,1-Methylnaphthalene,2-Ethylnaphthalene,1-Ethylnaphthalene,"2,6-Dimethylnaphthalene","2,7-Dimethylnaphthalene",,,,"1,3+1,7-Dimethylnaphthalene","1,6-Dimethylnaphthalene",,,"1,4+2,3-Dimethylnaphthalene","1,5-Dimethylnaphthalene","1,2-Dimethylnaphthalene",,"1,3,7-Trimethylnaphthalene","1,3,6-Trimethylnaphthalene","1,3,5+1,4,6-Trimethylnaphthalene","2,3,6-Trimethylnaphthalene","1,2,7-Trimethylnaphthalene","1,6,7-TrimethylNaphthalene","1,2,6-Trimethylnaphthalene","1,2,4-Trimethylnaphthalene","1,2,5-Trimethylnaphthalene",,,,,,,,,,,,,,
,,,,,,,,"2,6+2,7 DMN",,,,,,,,,,,"1,3,7TMN","1,3,6TMN","1,3,5+1,4,6TMN","2,3,6TMN","1,2,7TMN","1,6,7TMN","1,2,6TMN","1,2,4TMN","1,2,5TMN",,,,,,,,,,,,,,
,Naph,,,,,,,"2,6+2,7-DMN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Na,2MeNa,1MeNa,2EtNa,1EtNa,26DiMeNa,27DiMeNa,,,,13+17DiMeNa,16DiMeNa,,,14+23DiMeNa,15DiMeNa,12DiMeNa,18DiMeNa,137TrMeNa,136TrMeNa,135+146TrMeNa,236TrMeNa,127TrMeNa,167TrMeNa,126TrMeNa,124TrMeNa,125TrMeNa,,1357TeMeNa,1367TeMeNa,1246+1247+1467TeMeNa,1257TeMeNa,2367TeMeNa,1267TeMeNa,1237TeMeNa,1236TeMeNa,1256+1235TeMeNa,12467PeMeNa,12357PeMeNa,12367PeMeNa,12356PeMeNa
,Naphtalene,2MN,1MN,2EN,1EN,2.6 DMN,2.7 DMN,,,,1.3 DMN + 1.7 DMN,1.6 DMN,,,2.3 DMN + 1.4 DMN,1.5 DMN,1.2 DMN,,1.3.7 TMN,1.3.6 TMN,1.3.5 TMN + 1.4.6 TMN,2.3.6 TMN,1.2.7 TMN,1.6.7 TMN,1.2.6 TMN,1.2.4 TMN,1.2.5  TMN,,,,,,,,,,,,,,
,,,,2-EN,1-EN,,,,,,"1,3+1,7-DMN",,,,"1,4+2,3-DMN",,,,,,"1,3,5+1,4,6-TMN",,,,,,,,,,,,,,,,,,,,
,,2-Methylnaphtalen,1-Methylnaphtalen,2-Ethylnaphtalen,1-Ethylnaphtalen,"2,6-Dimethylnaphtalen","2,7-Dimethylnaphtalen",,,,"1,3+1,7-Dimethylnaphtalen","1,6-Dimethylnaphtalen",,,"1,4+2,3-Dimethylnaphtalen","1,5-Dimethylnaphtalen","1,2-Dimethylnaphtalen",,"1,3,7-Trimethylnaphtalen","1,3,6-Trimethylnaphtalen","1,3,5+1,4,6-Trimethylnaphtalen","2,3,6-Trimethylnaphtalen","1,2,7-Trimethylnaphtalen","1,6,7-Trimethylnaphtalen","1,2,6-Trimethylnaphtalen","1,2,4-Trimethylnaphtalen","1,2,5-Trimethylnaphtalen",,,,,,,,,,,,,,
,,2-methylnaphthalene,1-methylnaphthalene,2-ethylnaphthalene,1- ethylnaphthalene,"2,6-dimethylnaphthalene","2,7-dimethylnaphthalene",,"1,3-dimethylnaphthalene","1,7-dimethylnaphthalene",,"1,6-dimethylnaphthalene",,,"1,4-&2,3-dimethylnaphthalene","1,5-dimethylnaphthalene","1,2-dimethylnaphthalene","1,8-dimethylnaphthalene","1,3,7-trimethylnaphthalene","1,3,6-trimethylnaphthalene","1,3,5-&1,4,6-trimethylnaphthalene","2,3,6-trimethylnaphthalene","1,2,7-trimethylnaphthalene","1,6,7-trimethylnaphthalene","1,2,6-trimethylnaphthalene","1,2,4-trimethylnaphthalene","1,2,5-trimethylnaphthalene",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IUPAC name (english),naphthalene,2-methylnaphthalene,1-methylnaphthalene,2-ethylnaphthalene,1-ethylnaphthalene,"2,6-dimethylnaphthalene","2,7-dimethylnaphthalene","2,7-+2,6-dimethylnaphthalene","1,3-dimethylnaphtalene","1,7-dimethylnaphtalene","1,3-+1,7-dimethylnaphtalene","1,6-dimethylnaphtalene","1,4-dimethylnaphtalene","2,3-dimethylnaphtalene","1,4-+2,3-dimethylnaphtalene","1,5-dimethylnaphtalene","1,2-dimethylnaphtalene","1,8-dimethylnaphtalene","1,3,7-Trimethylnaphthalene","1,3,6-Trimethylnaphthalene","1,3,5+1,4,6-Trimethylnaphthalene","2,3,6-Trimethylnaphthalene","1,2,7-Trimethylnaphthalene","1,6,7-TrimethylNaphthalene","1,2,6-Trimethylnaphthalene","1,2,4-Trimethylnaphthalene","1,2,5-Trimethylnaphthalene","1,2,3-Trimethylnaphthalene","1,3,6,7-tetramethylnaphtalene","1,3,5,7-tetramethylnaphtalene","1,2,4,6-+1,2,4,7-+1,4,6,7-tetramethylnaphtalene","1,2,5,7-tetramethylnaphtalene","2,3,6,7-tetramethylnaphtalene","1,2,6,7-tetramethylnaphtalene","1,2,3,7-tetramethylnaphtalene","1,2,3,6-tetramethylnaphtalene","1,2,5,6-+1,2,3,5-tetramethylnaphtalene","1,2,4,6,7-pentamethylnaphtalene","1,2,3,5,7-pentamethylnaphtalene","1,2,3,6,7-pentamethylnaphtalene","1,2,3,5,6-pentamethylnaphtalene"
GFZ abbreviation,naph,2MeNaph,1MeNaph,2ENaph,1ENaph,26DiMeNaph,27DiMeNaph,27+26DiMeNaph,13DiMeNaph,17DiMeNaph,13+17DiMeNaph,16DiMeNaph,14DiMeNaph,23DiMeNaph,14+23DiMeNaph,15DiMeNaph,"1,2DiMeNaph",18DiMeNaph,137TriMeNaph,136TriMeNaph,135+146TriMeNaph,236TriMeNaph,127TriMeNaph,167TriMeNaph,126TriMeNaph,124TriMeNaph,125TriMeNaph,123TriMeNaph,1357TeMeNaph,1367TeMeNaph,1246+1247+1467TeMeNaph,1257TeMeNaph,2367TeMeNaph,1267TeMeNaph,1237TeMeNaph,1236TeMeNaph,1256+1235TeMeNaph,12467PeMeNaph,12357PeMeNaph,12367PeMeNaph,12356PeMeNaph
InchI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
