tricyclclic,,,,,,,,,,,,,,,,,,,,,,,,,,,Pentacyclic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14-alkyl- 8,11-dimethyl-podocarpane;Phenanthrene, tetradecahydro-1,1,4a,8a-tetramethyl- (4aR,4bS,8aR,10aS)",,,,,,,,,,,,,,,,,,,,,,,,,,,Hopanes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C19,C20,C21,C22,C23,C24,C25,C25R,C25S,C26,C26R,C26S,,C27,C28,C28R,C28S,C29,C29R,C29S,C30,C30R,C30S,C31,C31R,C31S,IS,,TS,TM,"17b-22,29,30-trisnorhopane",,,C2917α21β,C29TS,"28,30-bisnorhopane","C2917b,21a",,"C3017a,21b",,,"C3017b,21a",,25nor17α21β,17α21β Hop,Moretane,Gammacerane,,S-C3117α21β,R-C3117α21β,,,,S-C3217α21β,R-C3217α21β,,,,S-C3317α21β,R-C3317α21β,,,,,S-C3147α21β,R-C3417α21β,,,,S-C3517α21β,R-C3517α21β,,
,Tricyclic (Cheilanthane) C20,Tricyclic (Cheilanthane) C21,Tricyclic (Cheilanthane) C22,Tricyclic (Cheilanthane) C23,Tricyclic (Cheilanthane) C24,Tricyclic (Cheilanthane) C25,,,Tricyclic (Cheilanthane) C26,,,,Tricyclic (Cheilanthane) C27,Tricyclic (Cheilanthane) C28,,,Tricyclic (Cheilanthane) C29,,,,,,,,,,,Ts,Tm,,,"α,β-C28","α,β-C29",29 Ts,,"β,α-C29",,30 Ts,,"α,β-C30 Hopane",,,,,"β,α-C30 Moretane",,,"α,β-C31 S","α,β-C31 R",,,,"α,β-C32 S","α,β-C32 R",,,,"α,β-C33 S","α,β-C33 R",,,,,"α,β-C34 S","α,β-C34 R",,,,"α,β-C35 S","α,β-C35 R",,
,C20/3,C21/3,C22/3,C23/3,C24/3,,C25-3-R,C25-3-S,,C26-3-R,C26-3-S,C-24-4,,,C28-3-R,C28-3-S,,C29-3-R,C29-3-S,,,,,,,,,Hop-27Ts,Hop-27Tm,Hop-bC27,,Hop-ab28,Hop-ab29,Hop-29Ts,,Hop-ba29,Hop-bbC29,Hop-30Ts,,Hop-ab30,Hop-ba30,,,,,,Hop-bbC30,Hop-ab31S,Hop-ab31R,Hop-baC31,,Hop-bbC31,Hop-ab32S,Hop-ab32R,Hop-baC32,,Hop-bbC32,Hop-ab33S,Hop-ab33R,Hop-baC33S,Hop-baC33R,Hop-bbC33,,Hop-ab34S,Hop-ab34R,Hop-baC34S,Hop-baC34R,,Hop-ab35S,Hop-ab35R,,
,,,,,,C25R+S,,,,C26R,C26S,C24 tetra,,,C28R,C28S,,C29R,C29S,,C30R,C30S,,,,,,"18a(H)-22,29,30-trisnorneohopane (Ts)","17a(H)-22,29,30-trisnorhopane (Tm)",,,,"C29 17a(H),21b(H)-norhopane",18a(H)-30-trisnorneohopane (C29Ts),,,,,,,,,,"17a(H),21b(H)-hopane","17b(H),21a(H)-moretane",,,22S C31 17a (H)-homohopane,22R C31 17a (H)-homohopane,,,,22S C32 17a (H)-homohopane,22R C32 17a (H)-homohopane,,,,22S C33 17a (H)-homohopane,22R C33 17a (H)-homohopane,,,,,,,,,,,,,
,20/3 (276),21/3 (290),[22/3 (304) ],23/3 (318),24/3 (332),25/3 (346),,,,26/3R (360),26/3S (360),24/4 (tetracyclisch) (374),[27/3 (374) ],,28/3R (388),28/3S (388),,29/3R (402),29/3S (402),,,,,,,,,C27Ts,C27Tm,"b,b-C27",,"a,b-C28","a,b-C29",C29Ts,C30Tm,"b,a-C29","b,b-C29",,Oleanane,"a,b-C30","b,a-C30",,,,,,"b,b-C30","a,b-C31S","a,b-C31R","b,a-C31S","b,a-C31R",,"a,b-C32S","a,b-C32R","b,a-C32S","b,a-C32R",,"a,b-C33S","a,b-C33R","b,a-C33S","b,a-C33R",,,"a,b-C34S","a,b-C34R","b,a-C34S",b.a-C34R,,"a,b-C35S","a,b-C35R","b,a-C35S","b,a-C35R"
 19/3, 20/3, 21/3, 22/3, 23/3, 24/3,25/3R+S,,,,26/3R,26/3S, 24/4,,,28/3R,28/3S,,29/3R,29/3S,,30/3R,30/3S,,31/3R,31/3S,,,C27HopTs,C27HopTm,bb-C27Hop,,ab-C28Hop,ab-C29Hop,C29HopTs,C30HopTm,ba-C29Hop,bb-C29Hop,,,ab-C30Hop,ba-C30Hop,,,,,,bb-C30Hop,ab-C31HopS,ab-C31HopR,ba-C31HopS,ba-C31HopR,,ab-C32HopS,ab-C32HopR,ba-C32HopS,ba-C32HopR,,ab-C33HopS,ab-C33HopR,ba-C33HopS,ba-C33HopR,,,ab-C34HopS,ab-C34HopR,ba-C34HopS,ba-C34HopR,,ab-C35HopS,ab-C35HopR,ba-C35HopS,ba-C35HopR
,,,,,,,,,,,,,,,,,,,,,,,,,,,,ab-C27-Hopan Ts,ab-C27-Hopan Tm,,,ab-C28-Hopan,ab-C29-Hopan + 30-Norhop-17(21)-ene,C29-Norneohopan,,ba-C29-Hopan,,,Oleanan (RT von C30:0.35),ab-C30-Hopan,ba-C30-Hopan,30-Norhopan oder 18a(H)-30-Norneohopan,,,,,,ab-C31-S-Hopan,ab-C31-R-Hopan,,,,ab-C32-S-Hopan,ab-C32-R-Hopan,,,,ab-C33-S-Hopan,ab-C33-R-Hopan,,,,,ab-C34-S-Hopan,ab-C34-R-Hopan,,,,ab-C35-S-Hopan,ab-C35-R-Hopan,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ts: 18α(H)-22,29,30-Trisnorneohopane","Tm: 17α(H)-22,29,30-trisnorhopane",,,αβ28 o bisnorhopane,αβ29 o  29H o Tm,,,βα29,,30Ts,,αβ30,βα30,,,,,,,αβ31S,αβ31R,βα31S,βα31R,,αβ32S,αβ32R,,,,αβ33S,αβ33R,,,,,αβ34S,αβ34R,,,,αβ35S,αβ35R,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,β-C27,Hop-17(21)-ene,,,,,,ββ-C29,,Olean-12-ene,,,,,,,,ββ-C30,,,βα-C31,,ββ-C31,,,,,,,,,,,,,,,,,,,,
Podocarpane,C17H30,,,,,,,,,,,,,,,,,,,,,,,,,,,Ts (C27),Tm(C27),C31R,C31S,αβC28,αβC29,norneohop-ene,,βαC29,,TsC29+C30,,αβC30,βαC30,,,,,Gamm,,,αβC31 S,αβC31 R,,,αβC32 S,αβC32 R,,,,αβC33 S,αβC33 R,,,,,C33 TT?,αβC34 S,αβC34 R,,,C34 TT?,αβC35 S,αβC35 R,
"14,11-didmethylpodopcarpane",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,From here on I really don't know what the compounds are :/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,, 27 TS,,,25-NH,,29Ts,30D,BNH,NM,H,30-NH,,,,,,,M,Gam,,,31S,31R,,,32S,32R,,,,33S,33R,,,,,34S,34R,,,,35S,35R,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,1  Dia-TNH          ,2  Ts                ,3  Tm                      ,4  Dia-NH                  ,5  NH-5                     ,6  Neo-NH                  ,7  NM-8                   ,8  Dia-H                    ,9  H                        ,Ts/Hopane,,,,,,,,,Moretane/hop,20  Gammaceran               ,10  M 12                     ,11  Dia-HH(S)                ,12  Dia-HH(R)                ,13  HH-13                    ,14  HH-14                    ,19  C31-Moretan              ,15  Dia-DiHH-18              ,16  Dia-DiHH-19              ,17  DiHH-18                  ,18  DiHH-19                  ,,,21  Dia-TriHH                ,22  Dia-TriHH(R)             ,23  TriHH-21                 ,24  TriHH 22                 ,25  Dia-TetraHH              ,26  Dia-TetraHH(R)           ,27  TetraHH 23               ,28  TetraHH 24               ,29  Dia-PentaHH              ,30  Dia-PentaHH              ,31  PentaHH 25               ,32  PentaHH                  ,C29-C35 H,
